Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU
I1,17/09/2022,17:00,Spezia,Sampdoria,2,1,H,2.69,3.24,2.74,2.0,1.8
I1,17/09/2022,19:45,Torino,Sassuolo,0,1,A,1.83,3.77,4.3,1.77,2.07
I1,18/09/2022,11:30,Udinese,Inter,3,1,H,3.83,3.8,1.92,1.68,2.2
I1,18/09/2022,14:00,Cremonese,Lazio,0,4,A,4.22,3.9,1.81,1.72,2.14
I1,18/09/2022,14:00,Fiorentina,Verona,2,0,H,1.78,3.85,4.48,1.79,2.04
I1,18/09/2022,14:00,Monza,Juventus,1,0,H,4.41,3.63,1.84,1.94,1.87
I1,18/09/2022,17:00,Roma,Atalanta,0,1,A,2.07,3.57,3.55,1.83,2.0
I1,18/09/2022,19:45,Milan,Napoli,1,2,A,2.14,3.5,3.44,1.88,1.94
I1,01/10/2022,14:00,Napoli,Torino,3,1,H,1.6,4.13,5.57,1.8,2.02
I1,01/10/2022,17:00,Inter,Roma,1,2,A,2.08,3.5,3.61,1.81,2.02
I1,01/10/2022,19:45,Empoli,Milan,1,3,A,5.47,4.13,1.61,1.81,2.02
I1,02/10/2022,11:30,Lazio,Spezia,4,0,H,1.4,4.96,7.65,1.63,2.29
I1,02/10/2022,14:00,Lecce,Cremonese,1,1,D,2.08,3.47,3.6,1.99,1.83
I1,02/10/2022,14:00,Sampdoria,Monza,0,3,A,2.32,3.34,3.16,1.95,1.87
I1,02/10/2022,14:00,Sassuolo,Salernitana,5,0,H,2.04,3.68,3.5,1.69,2.18
I1,02/10/2022,17:00,Atalanta,Fiorentina,1,0,H,1.97,3.56,3.88,1.89,1.93
I1,02/10/2022,19:45,Juventus,Bologna,3,0,H,1.51,4.3,6.48,1.84,1.98
I1,03/10/2022,19:45,Verona,Udinese,1,2,A,3.1,3.51,2.27,1.81,2.01
I1,08/10/2022,14:00,Sassuolo,Inter,1,2,A,4.41,4.18,1.73,1.6,2.36
I1,08/10/2022,17:00,Milan,Juventus,2,0,H,2.11,3.38,3.65,2.11,1.75
I1,08/10/2022,19:45,Bologna,Sampdoria,1,1,D,2.06,3.52,3.63,1.94,1.89
I1,09/10/2022,11:30,Torino,Empoli,1,1,D,1.76,3.67,4.86,2.04,1.8
I1,09/10/2022,14:00,Monza,Spezia,2,0,H,1.91,3.58,4.14,2.0,1.83
I1,09/10/2022,14:00,Salernitana,Verona,2,1,H,2.45,3.46,2.88,1.82,2.01
I1,09/10/2022,14:00,Udinese,Atalanta,2,2,D,2.56,3.41,2.76,1.85,1.98
I1,09/10/2022,17:00,Cremonese,Napoli,1,4,A,6.93,4.71,1.45,1.67,2.23
I1,09/10/2022,19:45,Roma,Lecce,2,1,H,1.36,4.98,9.21,1.83,2.0
