Div,Date,Time,HomeTeam,AwayTeam,HG,AG,FTR,AvgH,AvgD,AvgA,AvgO,AvgU,x,y,isOver
IT1,03/09/2022,19:45,Lazio,Napoli,1,2,A,2.93,3.56,2.38,1.72,2.14,-0.0007192810288955655,-0.018563171445209838,Over
IT1,04/09/2022,11:30,Cremonese,Sassuolo,0,0,D,3.05,3.53,2.31,1.68,2.19,-0.0032684949142604705,-0.021696295779252455,Under
IT1,04/09/2022,14:00,Spezia,Bologna,2,2,D,3.04,3.27,2.45,1.86,1.96,0.0111648233434789,-0.013206833467026075,Over
IT1,04/09/2022,17:00,Verona,Sampdoria,2,1,H,2.06,3.53,3.64,1.89,1.93,0.009658711985104538,0.006935574885295055,Over
IT1,04/09/2022,19:45,Udinese,Roma,4,0,H,4.01,3.68,1.92,1.82,2.01,0.00552265256982023,-0.029649135928502348,Over
IT1,05/09/2022,17:30,Monza,Atalanta,0,2,A,5.64,4.3,1.58,1.65,2.26,-0.010722461868600725,-0.05020017922167942,Under
IT1,05/09/2022,17:30,Salernitana,Empoli,2,2,D,2.27,3.43,3.21,1.9,1.92,0.011914957179821948,0.0025736509711311753,Over
IT1,05/09/2022,19:45,Torino,Lecce,1,0,H,1.73,3.7,5.11,1.83,1.99,0.0008602929727924757,0.014655015877081758,Under
IT1,10/09/2022,14:00,Napoli,Spezia,1,0,H,1.26,6.27,11.33,1.48,2.65,-0.04854601059769531,0.026343054777698,Under
IT1,10/09/2022,17:00,Inter,Torino,1,0,H,1.45,4.77,7.01,1.67,2.23,-0.023535559292333183,0.020259985296638867,Under
IT1,10/09/2022,19:45,Sampdoria,Milan,1,2,A,6.31,4.37,1.52,1.75,2.09,-0.005813030093754364,-0.05147764564985538,Over
IT1,11/09/2022,11:30,Atalanta,Cremonese,1,1,D,1.33,5.44,9.28,1.58,2.39,-0.03696521949128347,0.02528509006316246,Under
IT1,11/09/2022,14:00,Bologna,Fiorentina,2,1,H,2.97,3.4,2.42,1.91,1.9,0.01404227820931329,-0.009787305582049691,Over
IT1,11/09/2022,14:00,Lecce,Monza,1,1,D,2.3,3.35,3.21,1.97,1.84,0.01693706697965303,0.00560258488254293,Under
IT1,11/09/2022,14:00,Sassuolo,Udinese,1,3,A,2.69,3.51,2.58,1.67,2.21,-0.004517795341959488,-0.016349930984124787,Over
IT1,11/09/2022,17:00,Lazio,Verona,2,0,H,1.59,4.23,5.51,1.67,2.21,-0.015999913460128978,0.012094700823677388,Under
IT1,11/09/2022,19:45,Juventus,Salernitana,2,2,D,1.41,4.73,8.11,1.78,2.05,-0.017469014006467092,0.02740081986162292,Over
IT1,12/09/2022,19:45,Empoli,Roma,1,2,A,4.7,3.93,1.73,1.79,2.03,0.0015045646231062896,-0.03849196940436279,Over
IT1,16/09/2022,19:45,Salernitana,Lecce,1,2,A,2.25,3.33,3.37,2.01,1.81,0.018784343919850968,0.008552586865844678,Over
IT1,17/09/2022,14:00,Bologna,Empoli,0,1,A,2.13,3.52,3.42,1.88,1.94,0.00952811805239689,0.004537121405377301,Under
IT1,17/09/2022,17:00,Spezia,Sampdoria,2,1,H,2.69,3.24,2.74,2,1.8,0.019985510129418155,-0.00004897325385149749,Over
IT1,17/09/2022,19:45,Torino,Sassuolo,0,1,A,1.83,3.77,4.3,1.77,2.07,-0.0023479322611470975,0.00741022076581917,Under
IT1,18/09/2022,11:30,Udinese,Inter,3,1,H,3.83,3.8,1.92,1.68,2.2,-0.004787462173293912,-0.03274149441269542,Over
IT1,18/09/2022,14:00,Cremonese,Lazio,0,4,A,4.22,3.9,1.81,1.72,2.14,-0.0026909732343869874,-0.036196016791753396,Over
IT1,18/09/2022,14:00,Fiorentina,Verona,2,0,H,1.78,3.85,4.48,1.79,2.04,-0.0017862595784554395,0.010066859052632804,Under
IT1,18/09/2022,14:00,Monza,Juventus,1,0,H,4.41,3.63,1.84,1.94,1.87,0.012246113424743512,-0.02823446760389031,Under
IT1,18/09/2022,17:00,Roma,Atalanta,0,1,A,2.07,3.57,3.55,1.83,2,0.005217136153904556,0.003407357312468914,Under
IT1,18/09/2022,19:45,Milan,Napoli,1,2,A,2.14,3.5,3.44,1.88,1.94,0.009639359214642436,0.004457610285834363,Over
IT1,01/10/2022,14:00,Napoli,Torino,3,1,H,1.6,4.13,5.57,1.8,2.02,-0.005715902764629703,0.017732148691889254,Over
IT1,01/10/2022,17:00,Inter,Roma,1,2,A,2.08,3.5,3.61,1.81,2.02,0.004192673310001074,0.002420310301800559,Over
IT1,01/10/2022,19:45,Empoli,Milan,1,3,A,5.47,4.13,1.61,1.81,2.02,-0.00009618494265281393,-0.04433472249786143,Over
IT1,02/10/2022,11:30,Lazio,Spezia,4,0,H,1.4,4.96,7.65,1.63,2.29,-0.028534374481919738,0.02167781633356093,Over
IT1,02/10/2022,14:00,Lecce,Cremonese,1,1,D,2.08,3.47,3.6,1.99,1.83,0.016320901854376603,0.0110156723267635,Under
IT1,02/10/2022,14:00,Sampdoria,Monza,0,3,A,2.32,3.34,3.16,1.95,1.87,0.015684420113622352,0.00399998735977124,Over
IT1,02/10/2022,14:00,Sassuolo,Salernitana,5,0,H,2.04,3.68,3.5,1.69,2.18,-0.00606733966885583,-0.0028709680561959817,Over
IT1,02/10/2022,17:00,Atalanta,Fiorentina,1,0,H,1.97,3.56,3.88,1.89,1.93,0.00886794716982978,0.009173797696791006,Under
IT1,02/10/2022,19:45,Juventus,Bologna,3,0,H,1.51,4.3,6.48,1.84,1.98,-0.006745359176797345,0.023373516686828275,Over
IT1,03/10/2022,19:45,Verona,Udinese,1,2,A,3.1,3.51,2.27,1.81,2.01,0.006732074631429964,-0.017208735825016648,Over
IT1,08/10/2022,14:00,Sassuolo,Inter,1,2,A,4.41,4.18,1.73,1.6,2.36,-0.013170504764333261,-0.040447887577888204,Over
IT1,08/10/2022,17:00,Milan,Juventus,2,0,H,2.11,3.38,3.65,2.11,1.75,0.021910077301018512,0.01470796385095576,Under
IT1,08/10/2022,19:45,Bologna,Sampdoria,1,1,D,2.06,3.52,3.63,1.94,1.89,0.0127468933635541,0.009112001929201889,Under
IT1,09/10/2022,11:30,Torino,Empoli,1,1,D,1.76,3.67,4.86,2.04,1.8,0.013967306103159285,0.02116111032040625,Under
